Date,CHCC,KSE,MCB,OGDC,NML
1-Jan-15,72.11,32503.8,308.98,206.44,124.3
2-Jan-15,75.71,32731.61,311.9,208.56,128.88
5-Jan-15,76.41,32757.79,309.13,209.16,128.78
6-Jan-15,77.69,32668.73,309.95,210.04,126.92
7-Jan-15,77.95,32835.94,319.65,210.69,126.79
8-Jan-15,76.75,33117.47,316.31,212.8,127.79
9-Jan-15,77.06,33324.82,311.05,218.31,130.84
12-Jan-15,76.36,33418.2,317.09,216.89,131.22
13-Jan-15,76.5,33371.29,318.8,210.43,131.64
14-Jan-15,76.7,33585.75,320.06,209.77,131.89
15-Jan-15,76.15,33765.61,321.34,209.5,132.19
16-Jan-15,75.97,33786.44,326.11,207.97,131.18
19-Jan-15,78.33,34014.26,330.68,212.73,131.49
20-Jan-15,78.16,34121.3,334.4,213.39,132.69
21-Jan-15,77.24,34329.5,334.87,214.2,134.33
22-Jan-15,76,34146.97,334.85,216.6,133.68
23-Jan-15,74.75,34026.59,329.75,217.29,133.86
26-Jan-15,76.34,34466.53,333.77,214.6,135.85
27-Jan-15,78.05,34538.45,332.49,214.63,133.7
28-Jan-15,79.06,34386.86,333.96,213.49,130.15
29-Jan-15,81.51,34408.73,334.81,214.12,131.64
30-Jan-15,85.45,34443.87,334.82,210.94,130.73
2-Feb-15,88.33,34676.31,334.5,216.86,134.66
3-Feb-15,89.81,34826.51,338.82,221.93,132.17
4-Feb-15,88.02,34672.25,331.75,218.08,130.45
6-Feb-15,88.43,34656.94,321.27,217.09,132.45
9-Feb-15,87.13,34570.3,314.52,214.97,133.24
10-Feb-15,85.51,34432.89,314.32,217.45,134.48
11-Feb-15,83.21,34203.99,314.33,213.68,132.58
12-Feb-15,82.35,33786.42,305.22,210.44,129.7
13-Feb-15,80.53,33943.2,306.72,211.22,128
16-Feb-15,79.07,33796.44,303.38,213.54,127.72
17-Feb-15,79.07,33801.1,301.88,214.65,127.44
18-Feb-15,77.71,33718.86,301.41,215.49,126.18
19-Feb-15,79.42,33942.27,306.96,212.17,128.92
20-Feb-15,76.67,33993,314.48,212.05,128.11
23-Feb-15,76.18,33926.7,312.17,210.94,127.56
24-Feb-15,75.25,33895.46,317.92,210.05,125.97
25-Feb-15,75.02,33845.3,318.31,208.91,125.53
26-Feb-15,73.81,33762.8,317.08,209.48,125.12
27-Feb-15,73.57,33632.19,303.95,211.15,124.02
2-Mar-15,71.41,33213.58,303.46,208.89,122.72
3-Mar-15,74.32,33188.77,293.89,206.98,123.82
4-Mar-15,77.56,33242.94,297.74,205.32,123.02
5-Mar-15,78.03,33368.83,296,205.97,122.96
6-Mar-15,80.2,33263.66,288.59,204.14,122.71
9-Mar-15,77.84,32860.57,279.71,204.27,119.34
10-Mar-15,76.39,32566.59,276.58,204.36,116.69
11-Mar-15,78.21,32539.61,277.82,203.51,116.91
12-Mar-15,78.45,32582.68,274.93,203.81,116.86
13-Mar-15,81.25,32929.09,277.6,204.95,118.78
16-Mar-15,79.24,32454.91,277.73,197.74,114.45
17-Mar-15,78.77,32342.26,273.95,196.39,113.89
18-Mar-15,75.34,31524.98,270.96,188.23,111.2
19-Mar-15,75.64,31451.62,264.3,188.71,109.5
20-Mar-15,78.16,31800.26,251.09,187.85,113.33
24-Mar-15,75.44,31310.73,239.25,186.08,110.36
25-Mar-15,74.36,31086.51,240.25,183.44,109.61
26-Mar-15,71.83,30678.97,242.69,186.75,105
27-Mar-15,68.53,29957.83,238.67,182.14,102.89
30-Mar-15,65.36,28927.04,234.8,177.35,97.75
31-Mar-15,68.62,30233.87,246.53,181.53,102.18
1-Apr-15,72.05,30605.05,258.4,176.93,101.43
2-Apr-15,75.65,31132.25,258.82,177.58,105.69
3-Apr-15,79.32,31413.96,260.29,172.44,110.97
6-Apr-15,80.55,31752.17,261.76,173.35,111.78
7-Apr-15,78.82,31600.73,258.88,174.37,110.06
8-Apr-15,78.22,31887.3,251.63,177.84,113.03
9-Apr-15,79.43,32013.91,254.23,177.11,113.51
10-Apr-15,80.87,32350.93,262.89,175.29,114.1
13-Apr-15,79.23,32248.45,259.79,174.35,112.45
14-Apr-15,77.99,32109.87,258.72,174.18,114.33
15-Apr-15,77.51,32248.86,259.9,176.83,113.37
16-Apr-15,78.1,32736.43,263.03,180.67,115.53
17-Apr-15,79.98,33234.73,271.32,185.2,115.97
20-Apr-15,77.23,33304.64,284.71,184.77,111.83
21-Apr-15,76.2,33035.77,284.36,181.03,107.17
22-Apr-15,76.62,33490.64,287.46,180.71,110.44
23-Apr-15,75.79,33456.74,282.28,179.79,110.17
24-Apr-15,74.96,33775.12,286.19,183.93,111.61
27-Apr-15,74.24,33844.29,291.68,183.14,110.15
28-Apr-15,73.57,33575.94,285.39,181.58,110.68
29-Apr-15,73.28,33460.01,281.15,181.86,111.06
30-Apr-15,74.62,33729.96,276.28,182.84,112.25
4-May-15,74.51,33723.53,277.42,182.55,112.97
5-May-15,73.58,33533.64,276.01,182.23,112.4
6-May-15,73.54,33839.28,279.02,191.31,112.95
7-May-15,73.37,33742.88,275.87,194.43,110.91
8-May-15,72.96,33530.3,273.26,190.01,110.57
11-May-15,69.93,32506.36,264.04,187.83,106.57
12-May-15,73.38,33023.8,268.65,190.03,108.03
13-May-15,72.03,32915.44,267.2,189.99,107.21
14-May-15,72.29,33103.73,265.24,189.55,108.36
15-May-15,71.85,33039.19,266.1,187.06,107.59
18-May-15,70.79,32886.06,269.85,186.62,106.04
19-May-15,70.19,32729.55,268.53,186.04,103.82
20-May-15,70.56,32599,265.07,186.04,104.03
21-May-15,71.81,32617.74,266.49,184.15,104.93
22-May-15,71.89,32605.62,267.73,185.82,104.82
25-May-15,75.27,32707.22,254.35,191.92,106.14
26-May-15,74.03,32510.35,249.32,189.99,104.91
27-May-15,77.71,32842.59,254.29,189.29,110.01
28-May-15,77.33,32763.48,255.96,185.98,107.63
29-May-15,76.76,33056.79,268.54,184.73,108.37
1-Jun-15,76.77,33563.38,268.64,185.65,111.02
2-Jun-15,76.9,33895.34,281.76,189.71,110.2
3-Jun-15,77.45,33908.62,281.24,189.07,109.05
4-Jun-15,79.59,34085.74,277.49,189.51,110.8
5-Jun-15,80.39,34012.49,272.79,187.52,113.93
8-Jun-15,84.4,34151.11,260.95,187.21,116.85
9-Jun-15,88.62,34270.28,257.52,187.58,116.11
10-Jun-15,89,34323.84,252.04,189.24,116.34
11-Jun-15,86.43,34594.7,247.14,195.87,116.68
12-Jun-15,87.04,34651.29,246.58,194.83,120.62
15-Jun-15,85.69,34710.29,247.39,193.55,120.11
16-Jun-15,85.99,34516.3,242.3,191.33,118.55
17-Jun-15,84.88,34482,235.19,190.7,117.34
18-Jun-15,85.04,34674.61,240.87,193.45,116.51
19-Jun-15,84.24,34526.7,239.81,193.84,116.08
22-Jun-15,83.18,34278.42,237.1,191.85,114
23-Jun-15,83.25,34133.83,232.88,188.51,113.43
24-Jun-15,84.15,34331.94,236.69,186.17,112.84
25-Jun-15,83.61,34077.92,237.72,182.42,112.57
26-Jun-15,84.33,33885.13,239.43,178.21,113.94
29-Jun-15,84.8,34093.55,244.15,176.88,114.13
30-Jun-15,87.03,34398.86,249.12,179.24,114.23
1-Jul-15,87.49,34843.6,260.29,181.82,115.87
2-Jul-15,90.36,35186.56,265.5,183.05,117.4
3-Jul-15,91.66,35456.35,268.9,183.5,120
6-Jul-15,91.04,35502.28,267.96,179.97,119.75
7-Jul-15,94.82,35537.69,265.41,176.29,117.94
8-Jul-15,92.69,35328.83,264.94,177.03,115.9
9-Jul-15,92.21,35147.13,263.48,176.02,115.57
10-Jul-15,90.63,35112.29,263.53,176.7,115.49
13-Jul-15,94.35,35496.62,264.05,176.92,118.77
14-Jul-15,94.54,35446.89,262.58,168.56,119.8
15-Jul-15,93.99,35699.75,264.68,169.55,122.05
16-Jul-15,93.44,35887.66,266.81,165.92,121.15
22-Jul-15,92.21,36056.68,275.63,162.7,120.87
23-Jul-15,90.71,35934.99,277.48,161.65,119.03
24-Jul-15,91.17,35815.2,276.07,160.72,119.04
27-Jul-15,89.15,35175.49,275.08,157.14,116.91
28-Jul-15,90.6,35274.66,274.08,156.34,114.96
29-Jul-15,90.51,35676.49,276.86,162,116.33
30-Jul-15,89.1,35730.01,273.43,164.85,115.84
31-Jul-15,88.53,35741.52,277.2,162.94,114.48
3-Aug-15,88.83,35824.56,279.26,162.46,114.92
4-Aug-15,92.05,35921.71,277.12,161.39,117.34
5-Aug-15,91.78,36156.83,281.67,163.43,118.14
6-Aug-15,91.26,36228.88,279.88,162.43,118.89
7-Aug-15,92.03,36222.63,279.94,162.04,121.45
10-Aug-15,93.41,36084.67,276.02,160.32,119.97
